Object Name,Bounding Box,Area,Overlap Area,Percentage
Bia_Truc_Bach,"(147, 218), (397, 679)",115250.0,0.0,0.0
Heiniken,"(818, 274), (1018, 711)",87400.0,0.0,0.0
Bia_Truc_Bach,"(146, 217), (400, 682)",118110.0,0.0,0.0
Heiniken,"(816, 269), (1012, 711)",86632.0,0.0,0.0
Bia_Truc_Bach,"(150, 217), (401, 687)",117970.0,0.0,0.0
Heiniken,"(819, 265), (1013, 709)",86136.0,0.0,0.0
Bia_Truc_Bach,"(153, 217), (402, 689)",117528.0,0.0,0.0
Heiniken,"(813, 260), (1015, 708)",90496.0,0.0,0.0
Heiniken,"(809, 258), (1014, 708)",92250.0,0.0,0.0
Bia_Truc_Bach,"(150, 220), (406, 705)",124160.0,0.0,0.0
Heiniken,"(806, 257), (1008, 710)",91506.0,0.0,0.0
Bia_Truc_Bach,"(147, 225), (413, 711)",129276.0,0.0,0.0
Heiniken,"(804, 258), (1003, 712)",90346.0,0.0,0.0
Bia_Truc_Bach,"(147, 230), (421, 713)",132342.0,0.0,0.0
Heiniken,"(802, 260), (1001, 712)",89948.0,0.0,0.0
Bia_Truc_Bach,"(154, 231), (424, 713)",130140.0,0.0,0.0
Heiniken,"(801, 261), (999, 713)",89496.0,0.0,0.0
Bia_Truc_Bach,"(155, 232), (426, 713)",130351.0,0.0,0.0
Heiniken,"(800, 261), (998, 714)",89694.0,0.0,0.0
Bia_Truc_Bach,"(156, 232), (433, 714)",133514.0,0.0,0.0
Heiniken,"(799, 262), (998, 714)",89948.0,0.0,0.0
Bia_Truc_Bach,"(158, 233), (437, 715)",134478.0,0.0,0.0
Heiniken,"(799, 262), (999, 714)",90400.0,0.0,0.0
Bia_Truc_Bach,"(159, 234), (438, 715)",134199.0,0.0,0.0
Heiniken,"(795, 261), (1002, 713)",93564.0,0.0,0.0
Bia_Truc_Bach,"(161, 234), (439, 714)",133440.0,0.0,0.0
Heiniken,"(796, 260), (1003, 713)",93771.0,0.0,0.0
